,loop,n_estimators,num_leaves,min_child_samples,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,learning_rate,random_state,score
10,10,2182,191,82,0.5863902770667878,0.7579410566266823,0.583740293457564,1.752060053485565e-08,2.063373685276301e-13,0.005643269705099804,42,0.4499424011738843
36,36,1985,188,95,0.5773508278882337,0.5588774494768315,0.5151538005680678,5.39603667045871e-05,4.759563888636513e-11,0.00628387546179724,42,0.450959889261192
4,4,1598,197,60,0.7624103442560192,0.5846638508409703,0.46170552767947703,1.2566980589781558e-07,4.0388582788211176e-14,0.006716510469710014,42,0.4547682764129002
18,18,1668,190,66,0.6546991162351024,0.5085577348588308,0.5590244567647622,4.2487589452979815e-06,7.758471595058434e-06,0.010279142049082183,42,0.4547916144388992
9,9,1474,149,93,0.7196099885883207,0.5477619234324963,0.539679422842432,1.7444562376942467e-05,3.048045260003117e-07,0.016674495393384833,42,0.46266437000808713
46,46,2127,112,78,0.6818727484344234,0.5204519345371719,0.48043810359557365,4.145726061189165e-06,3.3281555274950086e-11,0.01582456111157401,42,0.46963801567850616
19,19,1608,138,66,0.7992818494944567,0.6523423904648211,0.5325123754883814,0.00021594923254980103,1.7430820852485162e-10,0.005214374083843113,42,0.47228904084897777
31,31,567,122,75,0.7321090217506143,0.6086646624787011,0.5899698114433269,0.0006756533299930239,1.0293869166126037e-13,0.05901469224699714,42,0.48323229618266267
35,35,2565,137,69,0.6389469209176175,0.7550581341584713,0.6482082517884363,1.2048144351089115e-06,5.02138722340717e-13,0.012437381876253715,42,0.4853698602887516
29,29,1197,123,51,0.7113161426014194,0.5355952182576184,0.679384750630067,0.0006196523120747373,1.2927604258152898e-15,0.027895309007868907,42,0.4868492154399465
41,41,2423,133,50,0.7026560384986301,0.6666076406638644,0.4949893531232346,3.681150157261059e-08,1.0862016429150318e-14,0.015240000438889777,42,0.4873044060837735
21,21,908,121,96,0.7653653353751352,0.5893852847492923,0.5391272863526482,1.5809760025598153e-07,2.3673228806166135e-06,0.008235259983578538,42,0.4901780561880388
45,45,2570,139,79,0.5593480421969776,0.7034397097840805,0.6608568929347313,8.948717556295458e-07,3.3185452911983333e-12,0.013015662840086767,42,0.490737795010196
38,38,1945,170,95,0.6119816555032067,0.4082408882822921,0.6176934704307492,7.074298207722263e-07,1.868734540380449e-14,0.016481301709684103,42,0.4912936128643125
8,8,852,186,69,0.7198960802444195,0.6979282973823895,0.4004027670361053,5.5486187604860734e-05,9.469497936244582e-14,0.04233145393205265,42,0.49149727050633435
23,23,1175,158,65,0.6872733765318726,0.5170211172725361,0.5454205842922244,0.0001304509097856903,2.2547575076507556e-06,0.0049108599932620785,42,0.5096975808338742
14,14,584,179,69,0.5917440811162155,0.47226633073483515,0.5637543498558725,2.4615636911307004e-05,2.4800921632932892e-06,0.00935862009975923,42,0.5149291416108681
25,25,1453,103,54,0.6780000301736725,0.42515276591512596,0.5114055925655056,6.020532831133394e-06,1.4466696177008724e-13,0.04016519835309961,42,0.5154750620307966
3,3,1347,135,77,0.7401012339746478,0.7851586101537887,0.44762019803400993,0.0003171859639550698,3.297219553480113e-07,0.004026860755347781,42,0.5373684393786545
28,28,903,157,58,0.7609287970023408,0.7879108419159097,0.6937651496021457,1.1838655567976158e-07,1.930471699705016e-15,0.004820347863058671,42,0.5457460376275206
42,42,2133,194,83,0.599064506583677,0.7347248192968581,0.5162814004580948,5.185978322373135e-07,2.5023402208996e-14,0.02609575857559927,42,0.5462752339894283
12,12,1447,137,64,0.5685017368858958,0.6261036623380418,0.6645941905748686,2.482667060948741e-08,1.459806683366682e-11,0.003001586247896192,42,0.553343689012051
30,30,1759,147,80,0.6156365348205056,0.49258890614070644,0.40133888162045905,2.4318918677286116e-08,3.0309191178198067e-11,0.002830333971619724,42,0.5623861678400266
16,16,2613,134,70,0.5786639517176723,0.5309544123005907,0.5689852482176534,1.2364743896374196e-07,3.142475623687656e-06,0.0016603350766275329,42,0.5632002889735449
0,0,1134,133,90,0.6472838320624277,0.6317735068884462,0.6694705187646535,9.580135037520165e-06,3.7309608239855293e-14,0.06310582493165916,42,0.5661787396841889
40,40,1052,142,84,0.5241856729219047,0.5028659218914135,0.6662328756792307,0.000882506223048502,1.1659233894475237e-12,0.06582044117197938,42,0.5714124582237075
33,33,2108,117,60,0.7463370519345788,0.6428491986112287,0.4210518854079824,1.5916849327005332e-06,1.9186281915247175e-14,0.0021866837839086893,42,0.5756372850507739
27,27,2711,168,76,0.7461152825168789,0.5790165008983728,0.42892151966265174,5.3241305281042986e-08,1.499473578092168e-13,0.001595640294572848,42,0.5809214107173115
5,5,1514,198,54,0.5802204164084199,0.44185813904071825,0.4054834940789654,1.6918297957150583e-06,2.106005089426912e-08,0.0027353486854801916,42,0.5851072552802905
32,32,904,192,89,0.7877527455288063,0.7160916736207086,0.5509394095107565,8.989366885979935e-07,8.077055916726046e-14,0.08772106976673645,42,0.5892998027071914
1,1,2620,174,52,0.6503652558023334,0.7258460073617354,0.5895520120451581,0.00010856205808186525,2.2496800213685785e-15,0.0013728017250753718,42,0.5899416832251492
49,49,2679,111,85,0.7256229587523264,0.5149522240355845,0.5709484770888918,2.806623650454243e-07,4.593852447175887e-09,0.043684794605910966,42,0.6001119685325234
13,13,1863,116,65,0.5701629689141114,0.6569762559754455,0.6185522106023271,2.8434384550533582e-08,9.400012593974735e-10,0.05956022235222962,42,0.6079833438510487
43,43,1481,101,79,0.608861804713508,0.7775366718928072,0.43080509018953045,4.2247412298954976e-06,6.031897247347405e-12,0.10200664007550742,42,0.6229456686554253
47,47,2000,122,53,0.6176445717961785,0.6972478640447646,0.44247291881026174,9.682863213615812e-07,2.406772586305483e-10,0.07035314439976388,42,0.6251467355264319
11,11,1577,145,98,0.7973852609964056,0.6604733912591283,0.4457497438477095,0.00046639323093064576,6.84409716279379e-15,0.09562646280807803,42,0.6490292609076928
34,34,2674,109,77,0.6990191224508587,0.6901223303704662,0.4571989038520616,3.2859638367034576e-07,3.3178706887804055e-13,0.0011892546471470155,42,0.6672513539881917
44,44,1291,199,64,0.6512271618730257,0.6711593763438408,0.6638595985637723,1.2933220908210717e-08,4.707021187323773e-12,0.0019050628884013147,42,0.6941063394920551
22,22,2740,197,73,0.7027812950692323,0.4528707750549867,0.6233728303223506,3.178647739922072e-05,3.824295274538734e-15,0.06891437258930308,42,0.7023096181724628
17,17,2025,198,69,0.5901349608239788,0.7177160189834554,0.6794449749719036,1.1191841424399982e-05,1.3170939593910645e-09,0.09455546459652954,42,0.7185884455324124
6,6,2287,169,50,0.5250973603748835,0.5451837754920733,0.5563761968428904,0.0005648078878051786,4.6119700713655395e-12,0.09316484363355407,42,0.7186297709498807
37,37,2668,123,87,0.7207233484775546,0.7076286527907034,0.6959724058515214,2.7345200012330667e-08,4.162746643899512e-11,0.08434216704788886,42,0.7200444319832472
24,24,1332,147,74,0.6029148954092923,0.6258191682284864,0.5570055586581253,7.457639621506991e-08,5.7441033499641885e-11,0.0016156128622497937,42,0.7683689624592578
7,7,1406,115,72,0.5939272309036193,0.47139429830616386,0.5468656913096485,4.7361945506368336e-08,2.3963108642969977e-07,0.0015550397006126818,42,0.7711770829756542
48,48,823,142,62,0.778236733929625,0.4465202034961404,0.6185520467796285,1.8001399423897546e-06,3.3219626695673847e-15,0.001979551908438806,42,0.8620217178988522
2,2,724,150,86,0.5287476687055738,0.7072199657989828,0.5595420928927698,0.0008099472408929929,1.0311022473375031e-12,0.002287326423950659,42,0.8764181118255575
39,39,1555,139,97,0.5188313610521382,0.7711722806935187,0.5770774226019663,4.822365494791086e-05,2.3664828049393256e-15,0.0010335284084161253,42,0.8915781422528302
20,20,893,120,69,0.60160114163622,0.5933685085590145,0.6400080385117545,8.696442780514945e-06,3.2584349024586907e-10,0.0014674335311816418,42,0.958552085903419
15,15,662,190,65,0.7983252315346951,0.40794521660734345,0.5179128793300701,2.0306906554525486e-07,1.0120427147466318e-09,0.0014520598057189403,42,1.1090441739350267
26,26,700,189,60,0.5333174873862991,0.5644901911641109,0.5153174230956464,4.1906409471309454e-05,7.277361419417092e-10,0.0010448887837218208,42,1.224989372511882
